PDB_ID	TITLE	LENGTH
1thv	THE STRUCTURES OF THREE CRYSTAL FORMS OF THE SWEET PROTEIN THAUMATIN	207
1ppn	STRUCTURE OF MONOCLINIC PAPAIN AT 1.60 ANGSTROMS RESOLUTION	212
3cla	REFINED CRYSTAL STRUCTURE OF TYPE III CHLORAMPHENICOL ACETYLTRANSFERASE AT 1.75 ANGSTROMS RESOLUTION	213
2ayh	CRYSTAL AND MOLECULAR STRUCTURE AT 1.6 ANGSTROMS RESOLUTION OF THE HYBRID BACILLUS ENDO-1,3-1,4-BETA-D-GLUCAN 4-GLUCANOHYDROLASE H(A16-M)	214
2gst	STRUCTURE OF THE XENOBIOTIC SUBSTRATE BINDING SITE OF A GLUTATHIONE S-TRANSFERASE AS REVEALED BY X-RAY CRYSTALLOGRAPHIC ANALYSIS OF PRODUCT COMPLEXES WITH THE DIASTEREOMERS OF 9-(S-GLUTATHIONYL)-10-HYDROXY-9, 10-DIHYDROPHENANTHRENE	434
1hne	Structure of human neutrophil elastase in complex with a peptide chloromethyl ketone inhibitor at 1.84-angstroms resolution	224
1dts	CRYSTAL STRUCTURE OF AN ATP DEPENDENT CARBOXYLASE, DETHIOBIOTIN SYNTHASE, AT 1.65 ANGSTROMS RESOLUTION	221
2ak3	THE THREE-DIMENSIONAL STRUCTURE OF THE COMPLEX BETWEEN MITOCHONDRIAL MATRIX ADENYLATE KINASE AND ITS SUBSTRATE AMP AT 1.85 ANGSTROMS RESOLUTION	452
4blm	BETA-LACTAMASE OF BACILLUS LICHENIFORMIS 749(SLASH)C. REFINEMENT AT 2 ANGSTROMS RESOLUTION AND ANALYSIS OF HYDRATION	530
2cba	STRUCTURE OF NATIVE AND APO CARBONIC ANHYDRASE II AND SOME OF ITS ANION-LIGAND COMPLEXES	260
1arb	THE PRIMARY STRUCTURE AND STRUCTURAL CHARACTERISTICS OF ACHROMOBACTER LYTICUS PROTEASE I, A LYSINE-SPECIFIC SERINE PROTEASE	268
1s01	LARGE INCREASES IN GENERAL STABILITY FOR SUBTILISIN BPN(PRIME) THROUGH INCREMENTAL CHANGES IN THE FREE ENERGY OF UNFOLDING	275
2ebn	CRYSTAL STRUCTURE OF ENDO-BETA-N-ACETYLGLUCOSAMINIDASE F1, AN ALPHA(SLASH)BETA-BARREL ENZYME ADAPTED FOR A COMPLEX SUBSTRATE	289
1nar	CRYSTAL STRUCTURE OF NARBONIN REFINED AT 1.8 ANGSTROMS RESOLUTION	290
1amp	CRYSTAL STRUCTURE OF AEROMONAS PROTEOLYTICA AMINOPEPTIDASE: A PROTOTYPICAL MEMBER OF THE CO-CATALYTIC ZINC ENZYME FAMILY	291
1fnc	REFINED CRYSTAL STRUCTURE OF SPINACH FERREDOXIN REDUCTASE AT 1.7 ANGSTROMS RESOLUTION: OXIDIZED, REDUCED, AND 2'-PHOSPHO-5'-AMP BOUND STATES	314
8abp	SUGAR-BINDING AND CRYSTALLOGRAPHIC STUDIES OF AN ARABINOSE-BINDING PROTEIN MUTANT (MET108LEU) WHICH EXHIBITS ENHANCED AFFINITY AND ALTERED SPECIFICITY	306
2ctc	THE HIGH RESOLUTION CRYSTAL STRUCTURE OF THE COMPLEX BETWEEN CARBOXYPEPTIDASE A AND L-PHENYL LACTATE	307
1sbp	1.7 ANGSTROMS REFINED STRUCTURE OF SULFATE-BINDING PROTEIN INVOLVED IN ACTIVE TRANSPORT AND NOVEL MODE OF SULFATE BINDING	310
1ede	REFINED X-RAY STRUCTURES OF HALOALKANE DEHALOGENASE AT PH 6.2 AND PH 8.2 AND IMPLICATIONS FOR THE REACTION MECHANISM	310
1hvd	STRUCTURAL AND ELECTROPHYSIOLOGICAL ANALYSIS OF ANNEXIN V MUTANTS. MUTAGENESIS OF HUMAN ANNEXIN V, AN IN VITRO VOLTAGE-GATED CALCIUM CHANNEL, PROVIDES INFORMATION ABOUT THE STRUCTURAL FEATURES OF THE ION PATHWAY, THE VOLTAGE SENSOR AND THE ION SELECTIVITY FILTER	319
1ads	AN UNLIKELY SUGAR SUBSTRATE SITE IN THE 1.65 ANGSTROMS STRUCTURE OF THE HUMAN ALDOSE REDUCTASE HOLOENZYME IMPLICATED IN DIABETIC COMPLICATIONS	315
1trb	CONVERGENT EVOLUTION OF SIMILAR FUNCTION IN TWO STRUCTURALLY DIVERGENT ENZYMES	320
8tln	STRUCTURAL COMPARISON SUGGESTS THAT THERMOLYSIN AND RELATED NEUTRAL PROTEASES UNDERGO HINGE-BENDING MOTION DURING CATALYSIS	316
1tca	THE SEQUENCE, CRYSTAL STRUCTURE DETERMINATION AND REFINEMENT OF TWO CRYSTAL FORMS OF LIPASE B FROM CANDIDA ANTARCTICA	317
1pbp	FINE TUNING OF THE SPECIFICITY OF THE PERIPLASMIC PHOSPHATE TRANSPORT RECEPTOR: SITE-DIRECTED MUTAGENESIS, LIGAND BINDING, AND CRYSTALLOGRAPHIC STUDIES	321
2pia	PHTHALATE DIOXYGENASE REDUCTASE: A MODULAR STRUCTURE FOR ELECTRON TRANSFER FROM PYRIDINE NUCLEOTIDES TO [2FE-2S]	321
1apv	CRYSTALLOGRAPHIC ANALYSIS OF TRANSITION STATE MIMICS BOUND TO PENICILLOPEPSIN: DIFLUOROSTATINE-AND DIFLUOROSTATONE-CONTAINING PEPTIDES	328
1apm	2.0 ANGSTROM REFINED CRYSTAL STRUCTURE OF THE CATALYTIC SUBUNIT OF CAMP-DEPENDENT PROTEIN KINASE COMPLEXED WITH A PEPTIDE INHIBITOR AND DETERGENT	370
1gox	REFINED STRUCTURE OF SPINACH GLYCOLATE OXIDASE AT 2 ANGSTROMS RESOLUTION	370
2mnr	MECHANISM OF THE REACTION CATALYZED BY MANDELATE RACEMASE. 2. CRYSTAL STRUCTURE OF MANDELATE RACEMASE AT 2.5 ANGSTROMS RESOLUTION: IDENTIFICATION OF THE ACTIVE SITE AND POSSIBLE CATALYTIC RESIDUES	357
2ohx	REFINED CRYSTAL STRUCTURE OF LIVER ALCOHOL DEHYDROGENASE-NADH COMPLEX AT 1.8 ANGSTROMS RESOLUTION	748
2sil	THE STRUCTURES OF SALMONELLA TYPHIMURIUM LT2 NEURAMINIDASE AND ITS COMPLEX WITH A TRANSITION STATE ANALOGUE AT 1.6 ANGSTROMS RESOLUTION	381
1pbe	CRYSTAL STRUCTURE OF THE P-HYDROXYBENZOATE HYDROXYLASE-SUBSTRATE COMPLEX REFINED AT 1.9 ANGSTROMS RESOLUTION. ANALYSIS OF THE ENZYME-SUBSTRATE AND ENZYME-PRODUCT COMPLEXES	394
1php	STRUCTURE OF THE ADP COMPLEX OF THE 3-PHOSPHOGLYCERATE KINASE FROM BACILLUS STEAROTHERMOPHILUS AT 1.65 ANGSTROMS	394
4enl	CRYSTAL STRUCTURE OF HOLOENZYME REFINED AT 1.9 ANGSTROMS RESOLUTION: TRIGONAL-BIPYRAMIDAL GEOMETRY OF THE CATION BINDING SITE	436
1pii	THREE-DIMENSIONAL STRUCTURE OF THE BIFUNCTIONAL ENZYME PHOSPHORIBOSYLANTHRANILATE ISOMERASE: INDOLEGLYCEROLPHOSPHATE SYNTHASE FROM ESCHERICHIA COLI REFINED AT 2.0 ANGSTROMS RESOLUTION	452
2pgd	THE STRUCTURE OF 6-PHOSPHOGLUCONATE DEHYDROGENASE REFINED AT 2 ANGSTROMS RESOLUTION	482
3cox	CRYSTAL STRUCTURE OF CHOLESTEROL OXIDASE COMPLEXED WITH A STEROID SUBSTRATE. IMPLICATIONS FOR FAD DEPENDENT ALCOHOL OXIDASES	507
1ddt	THE REFINED STRUCTURE OF DIMERIC DIPHTHERIA TOXIN AT 2.0 ANGSTROMS RESOLUTION	535
1aoz	REFINED CRYSTAL STRUCTURE OF ASCORBATE OXIDASE AT 1.9 ANGSTROMS RESOLUTION	1104
1gof	NOVEL THIOETHER BOND REVEALED BY A 1.7 ANGSTROMS CRYSTAL STRUCTURE OF GALACTOSE OXIDASE	639
1cdg	NUCLEOTIDE SEQUENCE AND X-RAY STRUCTURE OF CYCLODEXTRIN GLYCOSYLTRANSFERASE FROM BACILLUS CIRCULANS STRAIN 251 IN A MALTOSE-DEPENDENT CRYSTAL FORM	686
8acn	CRYSTAL STRUCTURES OF ACONITASE WITH ISOCITRATE AND NITROISOCITRATE BOUND	754
