PDB_ID,TITLE,RESOLUTION,R_FACTOR,R_FACTOR_W,HELIX,STRAND,n_SEQSTR,n_SEQRES,n_SEQAF,n_SEQDIFF,pLDDT_global,uniprot.id,csm.af.id,csm.rcsb.id
1EU5,STRUCTURE OF E. COLI DUTPASE AT 1.45 A,1.45,0.1401,0.1827,5,41,136,152,152,16,98.13,P06968,AF-P06968-F1-model_v4,AF_AFP06968F1
1EW4,CRYSTAL STRUCTURE OF ESCHERICHIA COLI CYAY PROTEIN REVEALS A NOVEL FOLD FOR THE FRATAXIN FAMILY,1.4,0.188,0.188,31,32,106,106,106,0,96.66,P27838,AF-P27838-F1-model_v4,AF_AFP27838F1
1EXR,THE 1.0 ANGSTROM CRYSTAL STRUCTURE OF CA+2 BOUND CALMODULIN,1,0.134,NA,62,4,146,148,149,3,87.86,P07463,AF-P07463-F1-model_v4,AF_AFP07463F1
1FK5,STRUCTURAL BASIS OF NON-SPECIFIC LIPID BINDING IN MAIZE LIPID-TRANSFER PROTEIN COMPLEXES WITH OLEIC ACID REVEALED BY HIGH-RESOLUTION X-RAY CRYSTALLOGRAPHY,1.3,0.135,0.135,61,0,93,93,120,27,91.65,P19656,AF-P19656-F1-model_v4,AF_AFP19656F1
1FL0,CRYSTAL STRUCTURE OF THE EMAP2/RNA-BINDING DOMAIN OF THE P43 PROTEIN FROM HUMAN AMINOACYL-TRNA SYNTHETASE COMPLEX,1.5,0.221,0.221,9,40,164,171,312,148,94.94,Q12904,AF-Q12904-F1-model_v4,AF_AFQ12904F1
1FP2,CRYSTAL STRUCTURE ANALYSIS OF ISOFLAVONE O-METHYLTRANSFERASE,1.4,0.217,0.217,53,17,345,352,352,7,95.27,O24529,AF-O24529-F1-model_v4,AF_AFO24529F1
1G2R,"Structure of Cytosolic Protein of Unknown Function Coded by Gene from NUSA/INFB Region, a YlxR Homologue",1.35,0.1564,0.1568,40,19,94,100,97,3,96.1,A0A0H2UNW2,AF-A0A0H2UNW2-F1-model_v4,AF_AFA0A0H2UNW2F1
1G33,CRYSTAL STRUCTURE OF RAT PARVALBUMIN WITHOUT THE N-TERMINAL DOMAIN,1.44,0.169,0.169,52,3,73,73,110,37,95.95,P02625,AF-P02625-F1-model_v4,AF_AFP02625F1
1G4I,Crystal structure of the bovine pancreatic phospholipase A2 at 0.97A,0.97,0.094,0.094,53,9,123,123,145,22,94.51,P00593,AF-P00593-F1-model_v4,AF_AFP00593F1
1G6S,STRUCTURE OF EPSP SYNTHASE LIGANDED WITH SHIKIMATE-3-PHOSPHATE AND GLYPHOSATE,1.5,0.149,0.149,35,27,427,427,427,0,97.35,P0A6D3,AF-P0A6D3-F1-model_v4,AF_AFP0A6D3F1
1G8A,PYROCOCCUS HORIKOSHII FIBRILLARIN PRE-RRNA PROCESSING PROTEIN,1.4,0.203,0.203,26,31,227,227,227,0,97.47,O57811,AF-O57811-F1-model_v4,AF_AFO57811F1
1G9O,FIRST PDZ DOMAIN OF THE HUMAN NA+/H+ EXCHANGER REGULATORY FACTOR,1.5,0.186,0.181,14,36,91,91,358,267,83.03,O14745,AF-O14745-F1-model_v4,AF_AFO14745F1
1GBS,CRYSTAL STRUCTURE OF BLACK SWAN GOOSE-TYPE LYSOZYME AT 1.8 ANGSTROMS RESOLUTION,1.5,0.184,NA,58,4,185,185,185,0,98.31,P00717,AF-P00717-F1-model_v4,AF_AFP00717F1
1GCU,CRYSTAL STRUCTURE OF RAT BILIVERDIN REDUCTASE AT 1.4 A,1.4,0.219,0.219,41,27,292,295,295,3,96.4,P46844,AF-P46844-F1-model_v4,AF_AFP46844F1
1GNT,Hybrid Cluster Protein from Desulfovibrio vulgaris. X-ray structure at 1.25A resolution using synchrotron radiation.,1.25,0.158,0.157,51,12,553,553,553,0,97.2,P31101,AF-P31101-F1-model_v4,AF_AFP31101F1
1GPI,Cellobiohydrolase Cel7D (CBH 58) from Phanerochaete chrysosporium. Catalytic module at 1.32 Angstrom resolution,1.32,0.216,0.213,14,34,430,431,510,80,98.26,Q7LIJ0,AF-Q7LIJ0-F1-model_v4,AF_AFQ7LIJ0F1
1GS5,N-acetyl-L-glutamate kinase from Escherichia coli complexed with its substrate N-acetylglutamate and its substrate analog AMPPNP,1.5,NA,0.2088,45,23,258,258,258,0,93.54,P0A6C8,AF-P0A6C8-F1-model_v4,AF_AFP0A6C8F1
1GVO,"STRUCTURE OF PENTAERYTHRITOL TETRANITRATE REDUCTASE AND COMPLEXED WITH 2,4 DINITROPHENOL",1.38,0.175,0.175,34,19,362,364,365,3,97.69,P71278,AF-P71278-F1-model_v4,AF_AFP71278F1
1GWE,Atomic resolution structure of Micrococcus Lysodeikticus catalase,0.88,0.089,0.089,31,16,498,503,503,5,98.69,P29422,AF-P29422-F1-model_v4,AF_AFP29422F1
1H2J,"ENDOGLUCANASE CEL5A IN COMPLEX WITH UNHYDROLYSED AND COVALENTLY LINKED 2,4-DINITROPHENYL-2-DEOXY-2-FLUORO-CELLOBIOSIDE AT 1.15 A RESOLUTION",1.15,0.118,0.117,40,19,300,303,400,100,97.85,O85465,AF-O85465-F1-model_v4,AF_AFO85465F1
1HD2,Human peroxiredoxin 5,1.5,0.1325,NA,30,24,161,161,214,53,98.19,P30044,AF-P30044-F1-model_v4,AF_AFP30044F1
1HDO,Human biliverdin IX beta reductase: NADP complex,1.15,0.124,NA,35,21,205,206,206,1,97.79,P30043,AF-P30043-F1-model_v4,AF_AFP30043F1
1HFC,1.56 ANGSTROM STRUCTURE OF MATURE TRUNCATED HUMAN FIBROBLAST COLLAGENASE,1.5,0.174,0.174,25,16,157,169,469,312,97.23,P03956,AF-P03956-F1-model_v4,AF_AFP03956F1
1HG7,High resolution structure of HPLC-12 type III antifreeze protein from Ocean Pout Macrozoarces americanus,1.15,0.12,NA,20,24,66,66,66,0,97.14,P19614,AF-P19614-F1-model_v4,AF_AFP19614F1
1HZT,CRYSTAL STRUCTURE OF METAL-FREE ISOPENTENYL DIPHOSPHATE:DIMETHYLALLYL DIPHOSPHATE ISOMERASE,1.45,0.192,0.192,28,32,153,190,182,29,97.95,Q46822,AF-Q46822-F1-model_v4,AF_AFQ46822F1
1I1N,HUMAN PROTEIN L-ISOASPARTATE O-METHYLTRANSFERASE WITH S-ADENOSYL HOMOCYSTEINE,1.5,0.183,0.183,33,27,224,226,227,3,96.79,P22061,AF-P22061-F1-model_v4,AF_AFP22061F1
1IGD,THE THIRD IGG-BINDING DOMAIN FROM STREPTOCOCCAL PROTEIN G: AN ANALYSIS BY X-RAY CRYSTALLOGRAPHY OF THE STRUCTURE ALONE AND IN A COMPLEX WITH FAB,1.1,0.193,NA,23,43,61,61,448,387,87.27,P06654,AF-P06654-F1-model_v4,AF_AFP06654F1
1IO0,CRYSTAL STRUCTURE OF TROPOMODULIN C-TERMINAL HALF,1.45,NA,0.203,48,9,166,185,345,179,96.24,Q9DEA6,AF-Q9DEA6-F1-model_v4,AF_AFQ9DEA6F1
1IQZ,OXIDIZED [4Fe-4S] FERREDOXIN FROM BACILLUS THERMOPROTEOLYTICUS (FORM I),0.92,0.0972,0.0966,22,17,81,81,81,0,98.19,P10245,AF-P10245-F1-model_v4,AF_AFP10245F1
1ISP,Crystal structure of Bacillus subtilis lipase at 1.3A resolution,1.3,NA,0.192,42,20,179,181,212,33,98.37,P37957,AF-P37957-F1-model_v4,AF_AFP37957F1
1ITX,Catalytic Domain of Chitinase A1 from Bacillus circulans WL-12,1.1,0.11735,0.11628,34,22,419,419,699,280,96.58,P20533,AF-P20533-F1-model_v4,AF_AFP20533F1
1J0O,High Resolution Crystal Structure of the wild type Tetraheme Cytochrome c3 from Desulfovibrio vulgaris Miyazaki F,1.15,0.1042,0.1012,28,11,107,107,130,23,97.53,P00132,AF-P00132-F1-model_v4,AF_AFP00132F1
1J8U,Catalytic Domain of Human Phenylalanine Hydroxylase Fe(II) in Complex with Tetrahydrobiopterin,1.5,0.157,0.155,50,12,307,325,452,145,95.01,P00439,AF-P00439-F1-model_v4,AF_AFP00439F1
1JM1,Crystal structure of the soluble domain of the Rieske protein II (soxF) from Sulfolobus acidocaldarius,1.11,0.1063,0.1063,14,30,202,204,250,48,98.34,Q53766,AF-Q53766-F1-model_v4,AF_AFQ53766F1
1JO8,Structural analysis of the yeast actin binding protein Abp1 SH3 domain,1.3,0.14512,0.14352,5,45,58,58,592,534,92.9,P15891,AF-P15891-F1-model_v4,AF_AFP15891F1
1JX6,CRYSTAL STRUCTURE OF LUXP FROM VIBRIO HARVEYI COMPLEXED WITH AUTOINDUCER-2,1.5,0.214,0.214,47,18,338,342,365,27,96.45,P54300,AF-P54300-F1-model_v4,AF_AFP54300F1
1JZF,Pseudomonas aeruginosa Oxidized Azurin(Cu2+) Ru(tpy)(phen)(His83),1.5,NA,0.218,17,34,128,128,148,20,98.16,P00282,AF-P00282-F1-model_v4,AF_AFP00282F1
1KG2,Crystal structure of the core fragment of MutY from E.coli at 1.2A resolution,1.2,NA,0.1297,62,0,224,225,350,126,97,P17802,AF-P17802-F1-model_v4,AF_AFP17802F1
1KNL,Streptomyces lividans Xylan Binding Domain cbm13,1.2,0.152,0.139,12,35,126,130,477,351,96.69,P26514,AF-P26514-F1-model_v4,AF_AFP26514F1
1KOE,ENDOSTATIN,1.5,0.19,0.19,19,25,172,172,1774,1602,91.65,P39061,AF-P39061-F1-model_v4,AF_AFP39061F1
1KPF,PKCI-SUBSTRATE ANALOG,1.5,0.209,0.209,30,23,111,126,126,15,97.58,P49773,AF-P49773-F1-model_v4,AF_AFP49773F1
1KR7,Crystal structure of the nerve tissue mini-hemoglobin from the nemertean worm Cerebratulus lacteus,1.5,0.1563,0.15298,73,0,110,110,110,0,97.5,O76242,AF-O76242-F1-model_v4,AF_AFO76242F1
1KS8,"The structure of Endoglucanase from termite, Nasutitermes takasagoensis, at pH 2.5.",1.4,NA,0.177,53,5,433,433,448,15,98.28,O77044,AF-O77044-F1-model_v4,AF_AFO77044F1
1KT3,Crystal structure of bovine holo-RBP at pH 2.0,1.4,0.1753,0.1746,11,46,175,183,183,8,95.9,P18902,AF-P18902-F1-model_v4,AF_AFP18902F1
1KW3,"Crystal structure of 2,3-dihydroxybiphenyal dioxygenase (BphC) at 1.45 A resolution",1.45,0.16213,0.16137,20,39,288,292,293,5,97.53,P17297,AF-P17297-F1-model_v4,AF_AFP17297F1
1LOK,The 1.20 Angstrom Resolution Crystal Structure of the Aminopeptidase from Aeromonas proteolytica Complexed with Tris: A Tale of Buffer Inhibition,1.2,0.145,0.158,41,18,291,291,504,213,96.38,Q01693,AF-Q01693-F1-model_v4,AF_AFQ01693F1
1MLA,THE ESCHERICHIA COLI MALONYL-COA:ACYL CARRIER PROTEIN TRANSACYLASE AT 1.5-ANGSTROMS RESOLUTION. CRYSTAL STRUCTURE OF A FATTY ACID SYNTHASE COMPONENT,1.5,0.184,0.184,51,16,305,309,309,4,97.8,P0AAI9,AF-P0AAI9-F1-model_v4,AF_AFP0AAI9F1
1MNZ,Atomic structure of Glucose isomerase,0.99,0.123,0.123,50,10,387,388,388,1,98.68,P24300,AF-P24300-F1-model_v4,AF_AFP24300F1
1NF9,Crystal Structure of PhzD protein from Pseudomonas aeruginosa,1.5,0.156,0.155,42,18,207,207,207,0,97.94,P0DPB9,AF-P0DPB9-F1-model_v4,AF_AFP0DPB9F1
1NG6,Structure of Cytosolic Protein of Unknown Function YqeY from Bacillus subtilis,1.4,0.21,0.21,78,0,148,148,148,0,97.08,P54464,AF-P54464-F1-model_v4,AF_AFP54464F1
1NOA,CRYSTAL STRUCTURE OF APO-NEOCARZINOSTATIN AT 0.15 NM RESOLUTION,1.5,0.172,NA,3,50,113,113,147,34,96.91,P0A3R9,AF-P0A3R9-F1-model_v4,AF_AFP0A3R9F1
1NOF,THE FIRST CRYSTALLOGRAPHIC STRUCTURE OF A XYLANASE FROM GLYCOSYL HYDROLASE FAMILY 5: IMPLICATIONS FOR CATALYSIS,1.42,0.108,0.102,27,32,383,383,413,30,98.63,Q46961,AF-Q46961-F1-model_v4,AF_AFQ46961F1
1NWA,Structure of Mycobacterium tuberculosis Methionine Sulfoxide Reductase A in Complex with Protein-bound Methionine,1.5,0.161,0.16,27,24,168,203,182,14,97.21,P9WJM5,AF-P9WJM5-F1-model_v4,AF_AFP9WJM5F1
1O43,CRYSTAL STRUCTURE OF SH2 IN COMPLEX WITH RU82129.,1.5,0.196,0.196,18,29,106,108,536,430,93.78,P12931,AF-P12931-F1-model_v4,AF_AFP12931F1
1O4Y,THE THREE-DIMENSIONAL STRUCTURE OF BETA-AGARASE A FROM ZOBELLIA GALACTANIVORANS,1.48,0.149,0.148,12,44,270,288,539,269,95.69,G0L322,AF-G0L322-F1-model_v4,AF_AFG0L322F1
1OA4,Comparison of Family 12 Glycoside Hydrolases and Recruited Substitutions Important for Thermal Stability,1.5,0.18185,0.18149,6,50,222,222,371,149,96.24,Q9KIH1,AF-Q9KIH1-F1-model_v4,AF_AFQ9KIH1F1
1OAA,MOUSE SEPIAPTERIN REDUCTASE COMPLEXED WITH NADP AND OXALOACETATE,1.25,0.2,0.2,47,17,259,259,261,2,97.65,Q64105,AF-Q64105-F1-model_v4,AF_AFQ64105F1
1OAF,Ascobate peroxidase from soybean cytosol in complex with ascorbate,1.4,0.16259,0.16081,54,2,250,261,250,0,98.26,Q43758,AF-Q43758-F1-model_v4,AF_AFQ43758F1
1OUR,LecB (PA-LII) in complex with mannose,1.42,0.1831,0.182,0,71,114,114,115,1,98.05,Q9HYN5,AF-Q9HYN5-F1-model_v4,AF_AFQ9HYN5F1
1P3C,Glutamyl endopeptidase from Bacillus intermedius,1.5,0.156,0.153,20,35,215,215,303,88,97.35,Q9EXR9,AF-Q9EXR9-F1-model_v4,AF_AFQ9EXR9F1
1PA7,Crystal structure of amino-terminal microtubule binding domain of EB1,1.45,0.17358,0.17272,55,0,130,130,268,138,94.89,Q15691,AF-Q15691-F1-model_v4,AF_AFQ15691F1
1PLC,ACCURACY AND PRECISION IN PROTEIN CRYSTAL STRUCTURE ANALYSIS: RESTRAINED LEAST-SQUARES REFINEMENT OF THE CRYSTAL STRUCTURE OF POPLAR PLASTOCYANIN AT 1.33 ANGSTROMS RESOLUTION,1.33,0.15,NA,7,37,99,99,168,69,97.93,P00299,AF-P00299-F1-model_v4,AF_AFP00299F1
1PMY,REFINED CRYSTAL STRUCTURE OF PSEUDOAZURIN FROM METHYLOBACTERIUM EXTORQUENS AM1 AT 1.5 ANGSTROMS RESOLUTION,1.5,0.199,0.199,14,36,123,123,148,25,97.77,P04171,AF-P04171-F1-model_v4,AF_AFP04171F1
1PZ4,The structural determination of an insect (mosquito) Sterol Carrier Protein-2 with a ligand bound C16 Fatty Acid at 1.35 A resolution,1.35,0.187,0.187,35,28,113,116,110,3,83.17,Q86PR3,AF-Q86PR3-F1-model_v4,AF_AFQ86PR3F1
1Q92,Crystal structure of human mitochondrial deoxyribonucleotidase in complex with the inhibitor PMcP-U,1.4,0.13503,0.13337,34,15,195,197,228,33,98.18,Q9NPB1,AF-Q9NPB1-F1-model_v4,AF_AFQ9NPB1F1
1QB7,CRYSTAL STRUCTURES OF ADENINE PHOSPHORIBOSYLTRANSFERASE FROM LEISHMANIA DONOVANI.,1.5,NA,0.2,36,23,236,236,237,1,94.38,Q27679,AF-Q27679-F1-model_v4,AF_AFQ27679F1
1QNP,The 3-D structure of a Trichoderma reesei b-mannanase from glycoside hydrolase family 5,1.5,NA,0.127,39,18,344,344,437,93,98.52,Q99036,AF-Q99036-F1-model_v4,AF_AFQ99036F1
1QTO,1.5 A CRYSTAL STRUCTURE OF A BLEOMYCIN RESISTANCE DETERMINANT FROM BLEOMYCIN-PRODUCING STREPTOMYCES VERTICILLUS,1.5,NA,0.19,19,38,122,122,122,0,97.18,Q53793,AF-Q53793-F1-model_v4,AF_AFQ53793F1
1QTW,HIGH-RESOLUTION CRYSTAL STRUCTURE OF THE ESCHERICHIA COLI DNA REPAIR ENZYME ENDONUCLEASE IV,1.02,0.124,0.124,44,14,285,285,285,0,97.41,P0A6C1,AF-P0A6C1-F1-model_v4,AF_AFP0A6C1F1
1R6X,"The Crystal Structure of a Truncated Form of Yeast ATP Sulfurylase, Lacking the C-Terminal APS Kinase-like Domain, in complex with Sulfate",1.4,0.197,0.197,37,19,386,395,511,125,96.95,P08536,AF-P08536-F1-model_v4,AF_AFP08536F1
1R7J,Crystal structure of the DNA-binding protein Sso10a from Sulfolobus solfataricus,1.47,0.232,0.232,71,10,90,95,96,6,91.39,Q5W1E8,AF-Q5W1E8-F1-model_v4,AF_AFQ5W1E8F1
1RCF,STRUCTURE OF THE TRIGONAL FORM OF RECOMBINANT OXIDIZED FLAVODOXIN FROM ANABAENA 7120 AT 1.40 ANGSTROMS RESOLUTION,1.4,0.139,0.139,34,22,169,169,170,1,97.81,P0A3D9,AF-P0A3D9-F1-model_v4,AF_AFP0A3D9F1
1RIE,STRUCTURE OF A WATER SOLUBLE FRAGMENT OF THE RIESKE IRON-SULFUR PROTEIN OF THE BOVINE HEART MITOCHONDRIAL CYTOCHROME BC1-COMPLEX,1.5,0.187,0.187,13,34,127,129,274,147,94.24,P13272,AF-P13272-F1-model_v4,AF_AFP13272F1
1RL0,Crystal structure of a new ribosome-inactivating protein (RIP): dianthin 30,1.4,0.1841,0.184,38,23,255,255,293,38,97.93,P24476,AF-P24476-F1-model_v4,AF_AFP24476F1
1ROC,Crystal structure of the histone deposition protein Asf1,1.5,0.20012,0.19766,10,48,155,155,279,124,94.67,P32447,AF-P32447-F1-model_v4,AF_AFP32447F1
1RRO,REFINEMENT OF RECOMBINANT ONCOMODULIN AT 1.30 ANGSTROMS RESOLUTION,1.3,0.176,NA,57,4,108,108,109,1,91.82,P02631,AF-P02631-F1-model_v4,AF_AFP02631F1
1RTT,Crystal structure determination of a putative NADH-dependent reductase using sulfur anomalous signal,1.28,0.211,0.211,39,19,174,193,185,11,97.95,Q9I4D4,AF-Q9I4D4-F1-model_v4,AF_AFQ9I4D4F1
1RYO,"Human serum transferrin, N-lobe bound with oxalate",1.2,NA,0.221,37,21,324,327,698,374,94.68,P02787,AF-P02787-F1-model_v4,AF_AFP02787F1
1S8N,Crystal structure of Rv1626 from Mycobacterium tuberculosis,1.482,0.2042,0.2029,62,15,190,205,205,15,92.36,P9WGM3,AF-P9WGM3-F1-model_v4,AF_AFP9WGM3F1
1SFS,1.07 A crystal structure of an uncharacterized B. stearothermophilus protein,1.07,NA,0.1016,35,23,213,240,240,27,97.64,P84136,AF-P84136-F1-model_v4,AF_AFP84136F1
1SHU,Crystal Structure of the von Willebrand factor A domain of human capillary morphogenesis protein 2: an anthrax toxin receptor,1.5,0.1881,0.18668,48,23,181,182,489,308,87.21,P58335,AF-P58335-F1-model_v4,AF_AFP58335F1
1SI6,Crystal structure of cimex nitrophorin complex with CO,1.45,0.20551,0.20286,15,34,280,282,302,22,97.05,O76745,AF-O76745-F1-model_v4,AF_AFO76745F1
1SU7,Carbon Monoxide Dehydrogenase from Carboxydothermus hydrogenoformans- DTT reduced state,1.12,0.1379,0.1379,53,11,633,636,636,3,98.32,Q9F8A8,AF-Q9F8A8-F1-model_v4,AF_AFQ9F8A8F1
1T2D,Plasmodium falciparum lactate dehydrogenase complexed with NAD+ and oxalate,1.1,0.14324,0.14279,49,20,315,322,316,1,97.63,Q27743,AF-Q27743-F1-model_v4,AF_AFQ27743F1
1TG0,0.97-A structure of the SH3 domain of bbc1,0.97,NA,0.146,5,48,66,68,1157,1091,92.59,P47068,AF-P47068-F1-model_v4,AF_AFP47068F1
1TJE,Crystal structure of the editing domain of threonyl-tRNA synthetase,1.5,0.203,0.202,34,30,224,224,642,418,94.55,P0A8M3,AF-P0A8M3-F1-model_v4,AF_AFP0A8M3F1
1TJY,Crystal Structure of Salmonella typhimurium AI-2 receptor LsrB in complex with R-THMF,1.3,0.15643,0.15563,42,22,316,316,340,24,98.37,Q8ZKQ1,AF-Q8ZKQ1-F1-model_v4,AF_AFQ8ZKQ1F1
